order_id,store_id,product_id,units,created_at
1623067,55,2609,1,2021-12-23 09:47:42.813118 UTC
2039789,63,2609,1,2022-01-16 20:39:11.616374 UTC
2040020,63,2609,1,2022-01-16 20:55:46.968877 UTC
1499578,64,2609,1,2021-12-16 18:50:52.538409 UTC
2035239,62,2609,1,2022-01-16 15:28:30.510136 UTC
1697895,55,2609,1,2021-12-26 16:53:44.944928 UTC
701320,16,2609,1,2021-11-04 23:23:04.146464 UTC
2039796,55,2609,1,2022-01-16 20:39:39.200493 UTC
1605287,43,2609,1,2021-12-22 15:02:39.996648 UTC
1613157,62,2609,1,2021-12-22 18:47:48.234665 UTC
1923482,55,2609,1,2022-01-09 15:50:40.322741 UTC
1531364,55,2609,1,2021-12-18 12:53:28.216829 UTC
1915575,17,2609,1,2022-01-08 20:34:00.048568 UTC
1899100,64,2609,2,2022-01-07 19:19:14.101806 UTC
1901189,64,2609,2,2022-01-07 21:09:51.753826 UTC
2028733,63,2609,1,2022-01-15 22:35:44.583358 UTC
1677349,62,2609,1,2021-12-24 16:20:13.422038 UTC
938752,43,2609,1,2021-11-24 21:58:31.236963 UTC
1854909,61,2609,2,2022-01-04 15:26:17.474564 UTC
1280610,56,2609,1,2021-12-04 11:12:02.080446 UTC
2029017,43,2609,2,2022-01-15 22:57:17.288736 UTC
1915196,61,2609,1,2022-01-08 20:12:51.028772 UTC
1423577,56,2609,1,2021-12-12 14:52:00.167463 UTC
2043271,63,2609,1,2022-01-17 11:52:36.986786 UTC
1950082,43,2609,2,2022-01-11 18:39:58.963879 UTC
1292128,64,2609,3,2021-12-04 20:27:31.9565 UTC
1903505,64,2609,1,2022-01-08 09:02:53.863159 UTC
2023740,17,2609,1,2022-01-15 19:20:39.0925 UTC
708117,16,2609,1,2021-11-05 17:28:40.419345 UTC
708150,16,2609,1,2021-11-05 17:30:32.521027 UTC
2042391,56,2609,1,2022-01-17 10:20:32.290977 UTC
1898905,64,2609,2,2022-01-07 19:09:41.822577 UTC
2039795,63,2609,1,2022-01-16 20:39:38.234315 UTC
1462660,64,2609,1,2021-12-14 23:14:16.544632 UTC
1896803,55,2609,1,2022-01-07 17:17:34.48651 UTC
1916004,61,2609,1,2022-01-08 20:59:57.192656 UTC
1521535,64,2609,1,2021-12-17 19:16:59.524059 UTC
711417,16,2609,1,2021-11-05 21:08:47.567469 UTC
2045020,56,2609,1,2022-01-17 13:51:37.527378 UTC
1823433,64,2609,2,2021-12-31 13:01:46.664838 UTC
1192722,43,2609,1,2021-11-29 16:31:43.647863 UTC
1884683,62,2609,1,2022-01-06 19:08:35.271032 UTC
2037654,62,2609,1,2022-01-16 18:15:36.08821 UTC
1912476,55,2609,2,2022-01-08 18:02:38.266993 UTC
1526866,43,2609,1,2021-12-18 08:17:24.058551 UTC
1619080,62,2609,1,2021-12-22 22:06:59.343481 UTC
1920558,55,2609,1,2022-01-09 12:46:18.601108 UTC
2042884,62,2609,1,2022-01-17 11:19:28.755813 UTC
2042692,67,2609,2,2022-01-17 10:59:29.515057 UTC
1978263,17,2609,1,2022-01-13 17:31:08.401281 UTC
1921949,55,2609,3,2022-01-09 14:16:38.733687 UTC
2025060,17,2609,1,2022-01-15 19:52:38.515493 UTC
1985742,56,2609,1,2022-01-14 10:14:44.825441 UTC
1921860,61,2609,1,2022-01-09 14:11:01.766178 UTC
1703706,55,2609,1,2021-12-27 09:32:08.243545 UTC
1868231,64,2609,1,2022-01-05 17:03:26.907065 UTC
1862273,56,2609,1,2022-01-05 09:33:04.720383 UTC
1289207,64,2609,1,2021-12-04 17:53:45.818436 UTC
2027874,43,2609,1,2022-01-15 21:38:44.482907 UTC
1941960,17,2609,1,2022-01-11 10:00:10.806782 UTC
923341,43,2609,1,2021-11-24 13:12:44.919671 UTC
848399,43,2609,1,2021-11-18 17:32:59.444754 UTC
1799399,55,2609,5,2021-12-30 15:24:28.589859 UTC
1902832,64,2609,2,2022-01-07 23:40:50.477796 UTC
2039012,62,2609,1,2022-01-16 19:43:58.61882 UTC
2039826,63,2609,1,2022-01-16 20:41:25.967941 UTC
708147,16,2609,1,2021-11-05 17:30:20.350464 UTC
1827968,43,2609,2,2021-12-31 14:32:41.07295 UTC
1201596,43,2609,1,2021-11-29 18:41:33.380313 UTC
2016138,61,2609,1,2022-01-15 16:11:40.382533 UTC
1405693,56,2609,1,2021-12-11 15:18:39.16853 UTC
1342025,64,2609,1,2021-12-08 07:45:48.559522 UTC
1467895,56,2609,1,2021-12-15 13:16:52.442591 UTC
1894173,43,2609,2,2022-01-07 15:05:20.018052 UTC
1950396,56,2609,1,2022-01-11 18:57:53.400654 UTC
2020096,67,2609,2,2022-01-15 17:52:09.752737 UTC
1207304,43,2609,1,2021-11-29 19:44:29.158839 UTC
