now,id,store_id,product_id,quantity,created_at,updated_at,primary_location,secondary_location,name,ean,price,priority,is_available,stock_status
2022-01-03 08:00:17.954912 UTC,53319,40,2609,0,2021-10-12 15:27:06.249314,2021-12-31 15:06:24.629873,,,Banana nanica 500g,7898462315557,5.5,0,true,active
2022-01-03 08:00:17.954912 UTC,36043,1,2609,0,2021-09-06 10:03:12.438050,2021-12-30 11:30:41.098681,,,Banana nanica 500g,7898462315557,5.5,0,true,active
2022-01-03 08:00:17.954912 UTC,108261,77,2609,0,2021-12-28 14:24:56.865280,2021-12-28 14:24:56.865280,,,Banana nanica 500g,7898462315557,5.5,0,true,inactive
2022-01-03 08:00:17.954912 UTC,37265,23,2609,0,2021-09-10 15:28:27.200396,2021-09-29 04:03:52.349984,,,Banana nanica 500g,7898462315557,5.5,0,true,inactive
2022-01-03 08:00:17.954912 UTC,105951,78,2609,0,2021-12-23 20:58:23.650855,2021-12-27 11:22:34.313552,,,Banana nanica 500g,7898462315557,5.5,0,true,inactive
2022-01-03 08:00:17.954912 UTC,90414,34,2609,0,2021-12-04 11:47:14.131948,2021-12-04 11:47:14.131948,,,Banana nanica 500g,7898462315557,5.5,0,true,inactive
2022-01-03 08:00:17.954912 UTC,57462,33,2609,0,2021-10-19 15:19:54.149438,2021-12-06 20:35:15.870189,,,Banana nanica 500g,7898462315557,5.5,0,true,inactive
2022-01-03 08:00:17.954912 UTC,35745,29,2609,0,2021-09-03 17:16:06.433411,2021-11-05 11:12:25.459343,A,"",Banana nanica 500g,7898462315557,5.5,0,true,inactive
2022-01-03 08:00:17.954912 UTC,79687,42,2609,0,2021-11-13 13:46:05.013882,2021-12-29 12:14:06.359952,A1,"",Banana nanica 500g,7898462315557,5.5,0,true,active
2022-01-03 08:00:17.954912 UTC,33851,18,2609,0,2021-09-02 14:28:12.049707,2021-12-31 16:38:05.698904,I1,"",Banana nanica 500g,7898462315557,5.5,0,true,active
2022-01-03 08:00:17.954912 UTC,64446,52,2609,0,2021-10-28 12:51:52.710886,2021-12-30 17:51:14.136650,A4,"",Banana nanica 500g,7898462315557,5.5,0,true,active
2022-01-03 08:00:17.954912 UTC,34243,26,2609,0,2021-09-02 18:28:59.783088,2021-12-30 23:03:55.123901,A5,"",Banana nanica 500g,7898462315557,5.5,0,true,active
2022-01-03 08:00:17.954912 UTC,87688,53,2609,0,2021-11-28 12:54:29.536705,2021-12-31 13:21:56.018988,B2,"",Banana nanica 500g,7898462315557,5.5,0,true,active
2022-01-03 08:00:17.954912 UTC,39363,30,2609,0,2021-09-16 17:30:12.127065,2022-01-02 11:11:43.614146,D4,"",Banana nanica 500g,7898462315557,5.5,0,true,active
2022-01-03 08:00:17.954912 UTC,77737,60,2609,0,2021-11-11 16:10:06.861619,2021-12-27 11:20:30.201882,A1,"",Banana nanica 500g,7898462315557,5.5,0,true,active
2022-01-03 08:00:17.954912 UTC,33749,12,2609,0,2021-09-02 13:46:58.478729,2021-12-31 13:01:07.243960,A1,"",Banana nanica 500g,7898462315557,5.5,0,true,active
2022-01-03 08:00:17.954912 UTC,89597,64,2609,1,2021-12-02 14:22:48.196302,2022-01-02 20:07:39.467360,A1,"",Banana nanica 500g,7898462315557,5.5,0,true,active
2022-01-03 08:00:17.954912 UTC,61710,37,2609,0,2021-10-26 16:27:47.621191,2022-01-02 17:32:30.223746,P1,"",Banana nanica 500g,7898462315557,5.5,0,true,active
2022-01-03 08:00:17.954912 UTC,53382,39,2609,0,2021-10-12 16:36:49.287676,2021-12-31 02:23:45.932157,A4,"",Banana nanica 500g,7898462315557,5.5,0,true,active
2022-01-03 08:00:17.954912 UTC,56022,46,2609,3,2021-10-16 15:43:01.981800,2022-01-02 15:30:56.796893,B2,"",Banana nanica 500g,7898462315557,5.5,0,true,active
2022-01-03 08:00:17.954912 UTC,33548,13,2609,0,2021-09-02 12:43:43.847915,2022-01-02 13:29:51.164804,A4,"",Banana nanica 500g,7898462315557,5.5,0,true,active
2022-01-03 08:00:17.954912 UTC,36627,27,2609,0,2021-09-07 10:57:34.657544,2022-01-02 13:45:47.520068,A1,"",Banana nanica 500g,7898462315557,5.5,0,true,active
2022-01-03 08:00:17.954912 UTC,37290,25,2609,0,2021-09-11 11:16:26.776168,2021-12-30 22:39:22.094326,A3,"",Banana nanica 500g,7898462315557,5.5,0,true,active
2022-01-03 08:00:17.954912 UTC,33584,2,2609,0,2021-09-02 12:55:43.027036,2022-01-02 11:09:38.803497,H1,"",Banana nanica 500g,7898462315557,5.5,0,true,active
2022-01-03 08:00:17.954912 UTC,66856,59,2609,0,2021-10-30 12:26:34.424456,2022-01-02 16:06:33.477255,A1,"",Banana nanica 500g,7898462315557,5.5,0,true,active
2022-01-03 08:00:17.954912 UTC,79532,43,2609,0,2021-11-13 12:02:26.942257,2022-01-02 18:23:48.783593,"","",Banana nanica 500g,7898462315557,5.5,0,true,active
2022-01-03 08:00:17.954912 UTC,33790,22,2609,0,2021-09-02 14:01:23.975192,2022-01-02 20:08:11.634070,D,"",Banana nanica 500g,7898462315557,5.5,0,true,active
2022-01-03 08:00:17.954912 UTC,79583,41,2609,0,2021-11-13 12:43:29.937861,2022-01-02 17:01:29.415804,J1,"",Banana nanica 500g,7898462315557,5.5,0,true,active
2022-01-03 08:00:17.954912 UTC,80182,35,2609,0,2021-11-16 14:45:43.178718,2022-01-02 17:21:58.456427,B1,"",Banana nanica 500g,7898462315557,5.5,0,true,active
2022-01-03 08:00:17.954912 UTC,53250,28,2609,0,2021-10-12 13:59:53.464471,2022-01-02 23:16:10.497867,G5,"",Banana nanica 500g,7898462315557,5.5,0,true,active
2022-01-03 08:00:17.954912 UTC,66915,50,2609,0,2021-10-30 13:15:43.789045,2021-12-31 11:17:57.471579,C3,"",Banana nanica 500g,7898462315557,5.5,0,true,active
2022-01-03 08:00:17.954912 UTC,108340,81,2609,0,2021-12-28 16:12:21.673804,2021-12-29 16:59:31.865261,B3,"",Banana nanica 500g,7898462315557,5.5,0,true,inactive
2022-01-03 08:00:17.954912 UTC,79752,14,2609,0,2021-11-13 14:11:56.362754,2021-12-31 15:56:30.805144,A4,"",Banana nanica 500g,7898462315557,5.5,0,true,active
2022-01-03 08:00:17.954912 UTC,102561,62,2609,0,2021-12-21 14:27:37.414936,2021-12-26 13:44:27.697499,A4,"",Banana nanica 500g,7898462315557,5.5,0,true,inactive
2022-01-03 08:00:17.954912 UTC,107975,79,2609,0,2021-12-27 17:09:43.033100,2021-12-27 22:44:13.567627,A3,"",Banana nanica 500g,7898462315557,5.5,0,true,inactive
2022-01-03 08:00:17.954912 UTC,33656,5,2609,0,2021-09-02 13:26:54.584487,2021-12-31 14:09:45.196671,A1,"",Banana nanica 500g,7898462315557,5.5,0,true,active
2022-01-03 08:00:17.954912 UTC,53323,38,2609,4,2021-10-12 15:36:35.114750,2021-12-31 01:46:38.420261,A1,"",Banana nanica 500g,7898462315557,5.5,0,true,active
2022-01-03 08:00:17.954912 UTC,35945,20,2609,0,2021-09-04 13:11:15.861926,2022-01-02 15:59:29.732483,A7,"",Banana nanica 500g,7898462315557,5.5,0,true,active
2022-01-03 08:00:17.954912 UTC,61218,49,2609,0,2021-10-26 12:35:07.062539,2021-12-31 15:46:10.779084,A1,"",Banana nanica 500g,7898462315557,5.5,0,true,active
2022-01-03 08:00:17.954912 UTC,35937,21,2609,0,2021-09-04 12:34:00.706548,2021-12-30 16:17:02.606994,E1,"",Banana nanica 500g,7898462315557,5.5,0,true,active
2022-01-03 08:00:17.954912 UTC,33300,9,2609,0,2021-09-02 11:07:53.780599,2021-12-31 15:42:19.362022,H5,"",Banana nanica 500g,7898462315557,5.5,0,true,active
2022-01-03 08:00:17.954912 UTC,33261,15,2609,0,2021-09-02 09:44:29.002875,2021-12-28 14:34:59.078272,B5,"",Banana nanica 500g,7898462315557,5.5,0,true,active
2022-01-03 08:00:17.954912 UTC,33657,7,2609,0,2021-09-02 13:27:18.305315,2022-01-02 16:05:21.858133,L4,"",Banana nanica 500g,7898462315557,5.5,0,true,active
2022-01-03 08:00:17.954912 UTC,39607,31,2609,0,2021-09-18 14:14:42.974700,2021-11-25 16:06:49.564752,G2,"",Banana nanica 500g,7898462315557,5.5,0,true,inactive
2022-01-03 08:00:17.954912 UTC,61312,45,2609,0,2021-10-26 13:24:03.310096,2022-01-02 23:43:39.509511,A1,"",Banana nanica 500g,7898462315557,5.5,0,true,active
2022-01-03 08:00:17.954912 UTC,61415,32,2609,0,2021-10-26 13:59:21.399826,2022-01-02 20:07:10.682480,E7,"",Banana nanica 500g,7898462315557,5.5,0,true,active
2022-01-03 08:00:17.954912 UTC,66950,51,2609,1,2021-10-30 13:45:26.716200,2022-01-03 01:51:47.971362,A2,"",Banana nanica 500g,7898462315557,5.5,0,true,active
2022-01-03 08:00:17.954912 UTC,33457,8,2609,0,2021-09-02 12:18:29.296110,2021-12-29 14:56:37.637267,A6,"",Banana nanica 500g,7898462315557,5.5,0,true,active
2022-01-03 08:00:17.954912 UTC,56101,47,2609,0,2021-10-16 17:30:51.963246,2021-12-31 11:28:20.436750,A6,"",Banana nanica 500g,7898462315557,5.5,0,true,active
2022-01-03 08:00:17.954912 UTC,33425,6,2609,0,2021-09-02 12:12:27.697212,2021-12-30 19:57:27.357863,M1,"",Banana nanica 500g,7898462315557,5.5,0,true,active
2022-01-03 08:00:17.954912 UTC,33275,10,2609,0,2021-09-02 10:58:37.704978,2021-12-30 21:28:09.569688,E5,"",Banana nanica 500g,7898462315557,5.5,0,true,active
2022-01-03 08:00:17.954912 UTC,64464,44,2609,0,2021-10-28 12:59:14.092984,2022-01-02 14:20:27.325834,C5,"",Banana nanica 500g,7898462315557,5.5,0,true,active
2022-01-03 08:00:17.954912 UTC,35753,16,2609,0,2021-09-03 17:22:42.251394,2021-11-08 21:09:56.570477,B,"",Banana nanica 500g,7898462315557,5.5,0,true,inactive
2022-01-03 08:00:17.954912 UTC,66859,54,2609,0,2021-10-30 12:28:58.868632,2022-01-02 14:45:55.324832,A6,"",Banana nanica 500g,7898462315557,5.5,0,true,active
2022-01-03 08:00:17.954912 UTC,33468,4,2609,0,2021-09-02 12:20:09.905289,2021-12-31 12:07:16.758180,A1,"",Banana nanica 500g,7898462315557,5.5,0,true,active
2022-01-03 08:00:17.954912 UTC,33493,24,2609,0,2021-09-02 12:26:11.276806,2022-01-02 18:22:27.385913,E5,"",Banana nanica 500g,7898462315557,5.5,0,true,active
2022-01-03 08:00:17.954912 UTC,77686,11,2609,0,2021-11-11 15:26:00.167412,2022-01-02 17:32:38.953564,A1,"",Banana nanica 500g,7898462315557,5.5,0,true,active
2022-01-03 08:00:17.954912 UTC,98889,55,2609,0,2021-12-16 12:57:39.149406,2022-01-02 13:26:39.505082,A4,"",Banana nanica 500g,7898462315557,5.5,0,true,inactive
2022-01-03 08:00:17.954912 UTC,34918,19,2609,0,2021-09-03 10:12:38.467318,2021-12-30 20:47:50.647918,B4,"",Banana nanica 500g,7898462315557,5.5,0,true,active
2022-01-03 08:00:17.954912 UTC,88861,56,2609,0,2021-11-30 10:42:24.480147,2021-12-31 10:32:11.175818,A1,A1,Banana nanica 500g,7898462315557,5.5,0,true,active
2022-01-13 08:00:10.073418 UTC,108340,81,2609,0,2021-12-28 16:12:21.673804,2021-12-29 16:59:31.865261,B3,"",Banana nanica 500g,7898462315557,5.5,0,true,inactive
2022-01-13 08:00:10.073418 UTC,37290,25,2609,0,2021-09-11 11:16:26.776168,2022-01-11 17:25:57.643158,A3,"",Banana nanica 500g,7898462315557,5.5,0,true,active
2022-01-13 08:00:10.073418 UTC,66950,51,2609,0,2021-10-30 13:45:26.716200,2022-01-12 14:12:01.919525,A2,"",Banana nanica 500g,7898462315557,5.5,0,true,active
2022-01-13 08:00:10.073418 UTC,64464,44,2609,0,2021-10-28 12:59:14.092984,2022-01-12 18:36:37.270775,C5,"",Banana nanica 500g,7898462315557,5.5,0,true,active
2022-01-13 08:00:10.073418 UTC,114173,67,2609,2,2022-01-08 16:24:58.940549,2022-01-12 13:37:49.432136,A1,"",Banana nanica 500g,7898462315557,5.5,0,true,inactive
2022-01-13 08:00:10.073418 UTC,33261,15,2609,0,2021-09-02 09:44:29.002875,2022-01-11 14:27:17.156906,B5,"",Banana nanica 500g,7898462315557,5.5,0,true,active
2022-01-13 08:00:10.073418 UTC,57462,33,2609,0,2021-10-19 15:19:54.149438,2021-12-06 20:35:15.870189,,,Banana nanica 500g,7898462315557,5.5,0,true,inactive
2022-01-13 08:00:10.073418 UTC,39363,30,2609,0,2021-09-16 17:30:12.127065,2022-01-11 17:39:09.658353,D4,"",Banana nanica 500g,7898462315557,5.5,0,true,active
2022-01-13 08:00:10.073418 UTC,77686,11,2609,0,2021-11-11 15:26:00.167412,2022-01-11 20:15:39.371934,A1,"",Banana nanica 500g,7898462315557,5.5,0,true,active
2022-01-13 08:00:10.073418 UTC,56022,46,2609,0,2021-10-16 15:43:01.981800,2022-01-09 15:35:08.446267,B2,"",Banana nanica 500g,7898462315557,5.5,0,true,active
2022-01-13 08:00:10.073418 UTC,56101,47,2609,0,2021-10-16 17:30:51.963246,2022-01-12 17:10:51.807885,A6,"",Banana nanica 500g,7898462315557,5.5,0,true,active
2022-01-13 08:00:10.073418 UTC,33657,7,2609,0,2021-09-02 13:27:18.305315,2022-01-11 17:55:48.928437,L4,"",Banana nanica 500g,7898462315557,5.5,0,true,active
2022-01-13 08:00:10.073418 UTC,33468,4,2609,0,2021-09-02 12:20:09.905289,2022-01-12 14:33:17.822569,A1,"",Banana nanica 500g,7898462315557,5.5,0,true,active
2022-01-13 08:00:10.073418 UTC,64446,52,2609,0,2021-10-28 12:51:52.710886,2022-01-11 16:23:43.511902,A4,"",Banana nanica 500g,7898462315557,5.5,0,true,active
2022-01-13 08:00:10.073418 UTC,33749,12,2609,0,2021-09-02 13:46:58.478729,2022-01-11 22:57:02.507343,A1,"",Banana nanica 500g,7898462315557,5.5,0,true,active
2022-01-13 08:00:10.073418 UTC,98889,55,2609,0,2021-12-16 12:57:39.149406,2022-01-09 18:50:41.356004,A4,"",Banana nanica 500g,7898462315557,5.5,0,true,inactive
2022-01-13 08:00:10.073418 UTC,90414,34,2609,0,2021-12-04 11:47:14.131948,2021-12-04 11:47:14.131948,,,Banana nanica 500g,7898462315557,5.5,0,true,inactive
2022-01-13 08:00:10.073418 UTC,61415,32,2609,0,2021-10-26 13:59:21.399826,2022-01-11 13:45:08.732079,E7,"",Banana nanica 500g,7898462315557,5.5,0,true,active
2022-01-13 08:00:10.073418 UTC,53382,39,2609,0,2021-10-12 16:36:49.287676,2022-01-11 15:53:54.116897,A4,"",Banana nanica 500g,7898462315557,5.5,0,true,active
2022-01-13 08:00:10.073418 UTC,66915,50,2609,0,2021-10-30 13:15:43.789045,2022-01-11 22:27:17.248944,C3,"",Banana nanica 500g,7898462315557,5.5,0,true,active
2022-01-13 08:00:10.073418 UTC,61218,49,2609,0,2021-10-26 12:35:07.062539,2022-01-11 22:03:13.448490,A1,"",Banana nanica 500g,7898462315557,5.5,0,true,active
2022-01-13 08:00:10.073418 UTC,33457,8,2609,2,2021-09-02 12:18:29.296110,2022-01-12 20:55:18.236732,A6,"",Banana nanica 500g,7898462315557,5.5,0,true,active
2022-01-13 08:00:10.073418 UTC,33275,10,2609,0,2021-09-02 10:58:37.704978,2022-01-12 12:01:32.881460,E5,"",Banana nanica 500g,7898462315557,5.5,0,true,active
2022-01-13 08:00:10.073418 UTC,34243,26,2609,0,2021-09-02 18:28:59.783088,2022-01-11 21:44:52.367530,A5,"",Banana nanica 500g,7898462315557,5.5,0,true,active
2022-01-13 08:00:10.073418 UTC,53323,38,2609,0,2021-10-12 15:36:35.114750,2022-01-11 20:54:44.858249,A1,"",Banana nanica 500g,7898462315557,5.5,0,true,active
2022-01-13 08:00:10.073418 UTC,39607,31,2609,0,2021-09-18 14:14:42.974700,2021-11-25 16:06:49.564752,G2,"",Banana nanica 500g,7898462315557,5.5,0,true,inactive
2022-01-13 08:00:10.073418 UTC,33656,5,2609,0,2021-09-02 13:26:54.584487,2022-01-12 20:12:32.387280,A1,"",Banana nanica 500g,7898462315557,5.5,0,true,active
2022-01-13 08:00:10.073418 UTC,33425,6,2609,0,2021-09-02 12:12:27.697212,2022-01-12 20:15:31.340038,M1,"",Banana nanica 500g,7898462315557,5.5,0,true,active
2022-01-13 08:00:10.073418 UTC,33493,24,2609,0,2021-09-02 12:26:11.276806,2022-01-12 11:37:19.149518,E5,"",Banana nanica 500g,7898462315557,5.5,0,true,active
2022-01-13 08:00:10.073418 UTC,108261,77,2609,0,2021-12-28 14:24:56.865280,2022-01-05 23:51:07.993644,P1,"",Banana nanica 500g,7898462315557,5.5,0,true,inactive
2022-01-13 08:00:10.073418 UTC,79583,41,2609,0,2021-11-13 12:43:29.937861,2022-01-04 20:05:23.904439,J1,"",Banana nanica 500g,7898462315557,5.5,0,true,active
2022-01-13 08:00:10.073418 UTC,35937,21,2609,0,2021-09-04 12:34:00.706548,2022-01-11 14:35:32.119890,E1,"",Banana nanica 500g,7898462315557,5.5,0,true,active
